,Date,Low,High,Close,Open
4347,2021-11-23,2882.3,2933.2,2915.64,2923.06
4346,2021-11-22,2922.95,2996.59,2926.04,2986.65
4345,2021-11-19,2977.98,3019.33,2978.53,2999.5088
4344,2021-11-18,2957.69,3011.61,2996.77,2964.83
4343,2021-11-17,2944.8,2971.19,2960.94,2960.55
4342,2021-11-16,2946.25,2975.25,2957.52,2962.99
4341,2021-11-15,2951.5,2990.99,2969.04,2978.01
4340,2021-11-12,2908.2201,2977.0,2973.56,2932.31
4339,2021-11-11,2912.01,2950.71,2915.33,2929.79
4338,2021-11-10,2890.75,2961.4,2917.87,2950.0
4337,2021-11-09,2944.895,2996.69,2978.37,2984.66
4336,2021-11-08,2968.61,3012.295,2980.62,2996.5
4335,2021-11-05,2963.94,3006.55,2977.04,2983.39
4334,2021-11-04,2926.16,2994.67,2965.35,2942.49
4333,2021-11-03,2891.82,2933.38,2931.96,2918.01
4332,2021-11-02,2886.71,2932.18,2908.65,2891.59
4331,2021-11-01,2864.51,2960.92,2869.94,2960.92
4330,2021-10-29,2892.99,2964.84,2960.92,2901.56
4329,2021-10-28,2892.535,2943.16,2916.98,2942.69
4328,2021-10-27,2788.1,2973.0,2924.35,2788.1
4327,2021-10-26,2766.09,2801.6588,2786.17,2785.27
4326,2021-10-25,2708.48,2760.0,2748.94,2751.0
4325,2021-10-22,2721.12,2811.655,2751.33,2783.0
4324,2021-10-21,2810.0,2843.12,2837.72,2835.38
4323,2021-10-20,2827.53,2870.9218,2835.38,2866.76
4322,2021-10-19,2852.0,2873.25,2864.74,2867.75
4321,2021-10-18,2821.389,2855.92,2855.56,2821.53
4320,2021-10-15,2815.1,2834.36,2827.36,2832.29
4319,2021-10-14,2776.5,2826.745,2823.02,2789.4761
4318,2021-10-13,2730.3763,2760.0,2751.64,2748.05
4317,2021-10-12,2715.2,2790.14,2728.98,2789.6
4316,2021-10-11,2777.18,2814.24,2778.28,2785.84
4315,2021-10-08,2784.35,2806.6207,2795.71,2791.54
4314,2021-10-07,2773.024,2800.84,2784.5,2777.84
4313,2021-10-06,2691.0,2755.0,2751.3,2695.0
4312,2021-10-05,2680.82,2744.49,2720.46,2680.82
4311,2021-10-04,2621.0,2719.21,2673.19,2719.21
4310,2021-10-01,2681.46,2738.21,2730.86,2688.95
4309,2021-09-30,2671.12,2710.85,2673.52,2685.23
4308,2021-09-29,2677.3,2743.02,2687.07,2739.6
4307,2021-09-28,2707.2,2781.93,2716.6,2773.1
4306,2021-09-27,2801.35,2838.7699,2821.44,2816.0853
4305,2021-09-24,2804.82,2846.605,2844.3,2810.77
4304,2021-09-23,2808.03,2833.93,2824.32,2819.75
4303,2021-09-22,2771.03,2817.74,2805.67,2786.08
4302,2021-09-21,2765.56,2800.23,2780.66,2794.99
4301,2021-09-20,2726.435,2780.0,2774.39,2763.23
4300,2021-09-17,2809.395,2869.0,2816.0,2860.61
4299,2021-09-16,2848.03,2886.0,2872.2,2879.01
4298,2021-09-15,2826.95,2889.01,2888.59,2855.43
4297,2021-09-14,2835.0,2867.26,2850.89,2859.905
4296,2021-09-13,2825.0,2859.0,2846.65,2838.99
4295,2021-09-10,2814.755,2894.37,2817.52,2884.25
4294,2021-09-09,2863.55,2886.21,2870.82,2876.81
4293,2021-09-08,2860.0,2888.0,2873.82,2882.0
4292,2021-09-07,2872.38,2891.3,2885.61,2876.69
4291,2021-09-03,2848.01,2883.1,2874.79,2861.61
4290,2021-09-02,2863.695,2910.385,2865.74,2904.32
4289,2021-09-01,2897.67,2925.075,2904.31,2900.0
4288,2021-08-31,2885.62,2903.425,2893.95,2902.94
4287,2021-08-30,2883.26,2919.41,2891.81,2888.0
4286,2021-08-27,2829.94,2890.25,2880.08,2833.05
4285,2021-08-26,2827.14,2848.35,2828.81,2835.0
4284,2021-08-25,2827.52,2843.7897,2841.58,2832.5
4283,2021-08-24,2806.77,2841.6,2825.23,2812.23
4282,2021-08-23,2752.15,2817.49,2800.83,2759.39
4281,2021-08-20,2705.0,2751.08,2748.59,2720.0
4280,2021-08-19,2685.0,2727.05,2713.6,2688.71
4279,2021-08-18,2706.43,2742.085,2708.98,2730.0
4278,2021-08-17,2721.64,2765.31,2733.23,2755.0
4277,2021-08-16,2705.975,2767.25,2766.19,2750.4979
4276,2021-08-13,2740.66,2757.13,2754.55,2745.0
4275,2021-08-12,2708.51,2746.0,2743.88,2719.51
4274,2021-08-11,2725.43,2753.645,2725.58,2743.63
4273,2021-08-10,2727.29,2755.4461,2736.14,2746.84
4272,2021-08-09,2706.785,2743.68,2738.26,2718.85
4271,2021-08-06,2704.2,2729.45,2714.77,2720.84
4270,2021-08-05,2696.92,2727.0,2725.03,2713.61
4269,2021-08-04,2689.74,2712.99,2702.51,2706.99
4268,2021-08-03,2666.39,2714.64,2712.6,2702.7
4267,2021-08-02,2675.8828,2706.73,2697.09,2702.34
4266,2021-07-30,2685.1,2706.09,2694.53,2700.7
4265,2021-07-29,2710.86,2733.2203,2715.55,2723.0
4264,2021-07-28,2705.55,2765.94,2721.88,2726.239
4263,2021-07-27,2602.08,2687.98,2638.0,2685.01
4262,2021-07-26,2646.03,2684.74,2680.7,2666.565
4261,2021-07-23,2596.01,2667.9799,2660.3,2608.61
4260,2021-07-22,2549.9769,2569.66,2568.43,2556.88
4259,2021-07-21,2520.47,2551.92,2550.98,2522.67
4258,2021-07-20,2487.01,2540.8636,2524.19,2510.55
4257,2021-07-19,2470.1,2524.1,2491.56,2521.79
4256,2021-07-16,2523.07,2556.23,2539.4,2553.26
4255,2021-07-15,2530.6,2574.0,2540.1,2572.98
4254,2021-07-14,2558.2892,2586.5266,2564.74,2559.16
4253,2021-07-13,2533.49,2561.15,2546.83,2540.77
4252,2021-07-12,2512.215,2541.3888,2539.51,2523.56
4251,2021-07-09,2491.025,2514.69,2510.37,2500.5
4250,2021-07-08,2480.44,2511.91,2500.88,2480.52
4249,2021-07-07,2523.06,2545.68,2529.48,2543.24
4248,2021-07-06,2491.6501,2528.56,2523.8,2512.97
4247,2021-07-02,2461.19,2508.08,2505.15,2463.0
4246,2021-07-01,2430.63,2451.74,2448.89,2434.5
4245,2021-06-30,2427.09,2445.14,2441.79,2439.89
4244,2021-06-29,2433.815,2460.415,2445.45,2453.4071
4243,2021-06-28,2428.1101,2455.695,2450.72,2453.57
4242,2021-06-25,2431.305,2452.66,2450.17,2440.0
4241,2021-06-24,2446.0,2461.1107,2450.0,2454.0
4240,2021-06-23,2436.69,2461.91,2442.54,2441.87
4239,2021-06-22,2421.28,2448.0,2446.61,2435.0
4238,2021-06-21,2397.97,2440.0,2436.25,2410.01
4237,2021-06-18,2400.3,2432.06,2402.22,2427.34
4236,2021-06-17,2410.0,2450.45,2434.87,2413.95
4235,2021-06-16,2389.4,2437.72,2415.45,2431.44
4234,2021-06-15,2421.12,2455.51,2428.39,2449.0
4233,2021-06-14,2418.0,2448.92,2448.91,2432.26
4232,2021-06-11,2418.96,2441.72,2430.2,2440.0
4231,2021-06-10,2403.78,2436.0,2435.13,2406.92
4230,2021-06-09,2396.9,2412.88,2407.94,2411.43
4229,2021-06-08,2394.78,2419.5202,2398.44,2412.01
4228,2021-06-07,2381.0,2404.5099,2402.3,2389.436
4227,2021-06-04,2362.41,2399.03,2393.57,2369.27
4226,2021-06-03,2329.52,2357.015,2347.58,2345.73
4225,2021-06-02,2352.355,2393.64,2370.59,2389.15
4224,2021-06-01,2354.28,2385.71,2381.18,2374.44
4223,2021-05-28,2352.85,2376.07,2356.85,2374.42
4222,2021-05-27,2356.26,2389.05,2362.68,2389.05
4221,2021-05-26,2366.4625,2388.99,2380.31,2366.52
4220,2021-05-25,2355.0,2384.0,2362.87,2372.0
4219,2021-05-24,2311.955,2365.55,2361.04,2314.89
4218,2021-05-21,2289.3,2318.89,2294.13,2317.41
4217,2021-05-20,2283.52,2312.0,2306.95,2291.0
4216,2021-05-19,2225.44,2274.99,2271.5,2228.43
4215,2021-05-18,2262.19,2307.6818,2262.47,2302.35
4214,2021-05-17,2255.5101,2289.78,2288.92,2263.57
4213,2021-05-14,2250.0,2284.72,2278.38,2258.54
4212,2021-05-13,2206.72,2239.4375,2229.04,2226.12
4211,2021-05-12,2193.62,2247.98,2200.25,2226.19
4210,2021-05-11,2233.92,2280.28,2270.06,2243.07
4209,2021-05-10,2284.54,2331.0,2291.75,2328.14
4208,2021-05-07,2346.155,2371.25,2351.93,2363.89
4207,2021-05-06,2293.0418,2337.35,2337.35,2306.33
4206,2021-05-05,2308.28,2335.0,2314.77,2328.63
4205,2021-05-04,2256.68,2324.9899,2306.83,2313.55
4204,2021-05-03,2335.5,2381.55,2343.08,2364.91
4203,2021-04-30,2346.56,2381.85,2353.5,2368.02
4202,2021-04-29,2373.85,2404.16,2392.76,2389.23
4201,2021-04-28,2353.22,2431.38,2359.04,2392.4954
4200,2021-04-27,2286.16,2318.45,2290.98,2317.6326
4199,2021-04-26,2297.315,2324.53,2309.93,2304.52
4198,2021-04-23,2261.25,2306.1175,2299.93,2267.0
4197,2021-04-22,2240.32,2288.8814,2252.52,2275.4
4196,2021-04-21,2244.82,2280.0,2278.35,2272.05
4195,2021-04-20,2257.12,2298.9999,2279.01,2297.49
4194,2021-04-19,2270.18,2304.09,2289.76,2270.18
4193,2021-04-16,2270.92,2294.24,2282.75,2289.24
4192,2021-04-15,2251.17,2296.0,2285.25,2261.95
4191,2021-04-14,2236.015,2267.43,2241.91,2267.43
4190,2021-04-13,2243.05,2263.47,2254.43,2250.99
4189,2021-04-12,2227.82,2256.885,2244.62,2254.12
4188,2021-04-09,2237.255,2273.97,2270.67,2245.44
4187,2021-04-08,2243.01,2271.7899,2250.43,2264.0
4186,2021-04-07,2213.1,2244.5,2239.03,2213.1
4185,2021-04-06,2201.79,2228.0,2209.26,2210.92
4184,2021-04-05,2145.205,2228.99,2218.96,2147.15
4183,2021-04-01,2091.43,2135.75,2129.78,2092.25
4182,2021-03-31,2047.0,2086.26,2062.52,2054.4
4181,2021-03-30,2036.15,2062.67,2046.47,2052.98
4180,2021-03-29,2005.45,2049.21,2045.79,2022.16
4179,2021-03-26,2003.85,2039.385,2024.73,2031.79
4178,2021-03-25,1996.09,2045.64,2032.46,2029.05
4177,2021-03-24,2029.0001,2067.6,2032.53,2051.76
4176,2021-03-23,2028.0001,2064.11,2041.33,2039.95
4175,2021-03-22,2014.0,2048.34,2030.69,2027.63
4174,2021-03-19,2002.93,2037.04,2026.96,2029.73
4173,2021-03-18,2019.18,2068.746,2021.34,2048.18
4172,2021-03-17,2044.1218,2099.0,2082.22,2068.47
4171,2021-03-16,2059.29,2113.68,2083.89,2065.99
4170,2021-03-15,2027.79,2054.99,2054.44,2044.975
4169,2021-03-12,2032.42,2077.61,2050.0,2076.41
4168,2021-03-11,2056.45,2111.27,2100.54,2058.22
4167,2021-03-10,2019.33,2061.4,2036.19,2061.4
4166,2021-03-09,2035.6,2063.9153,2040.36,2049.75
4165,2021-03-08,2005.19,2113.74,2007.5,2084.06
4164,2021-03-05,2027.7773,2106.2,2097.07,2061.15
4163,2021-03-04,2005.43,2074.59,2033.93,2014.869
4162,2021-03-03,1994.0,2075.99,2011.41,2051.95
4161,2021-03-02,2056.67,2094.74,2064.48,2064.84
4160,2021-03-01,2034.42,2076.23,2069.66,2048.0
4159,2021-02-26,2001.01,2056.52,2021.91,2029.95
4158,2021-02-25,2006.49,2083.0,2015.95,2055.93
4157,2021-02-24,2027.53,2088.32,2083.81,2030.04
4156,2021-02-23,1990.23,2072.5,2060.12,2013.99
4155,2021-02-22,2048.0,2080.33,2054.26,2053.6
4154,2021-02-19,2083.43,2118.58,2088.81,2107.79
4153,2021-02-18,2093.33,2121.99,2105.81,2105.0
4152,2021-02-17,2088.35,2122.4434,2118.62,2093.98
4151,2021-02-16,2091.75,2145.14,2110.7,2091.75
4150,2021-02-12,2073.57,2099.5,2095.03,2079.77
4149,2021-02-11,2068.86,2094.0,2088.75,2091.0
4148,2021-02-10,2052.24,2098.88,2086.48,2083.14
4147,2021-02-09,2070.0,2098.51,2075.39,2074.8
4146,2021-02-08,2063.35,2115.0,2084.52,2100.0
4145,2021-02-05,2050.0,2095.94,2088.83,2059.56
4144,2021-02-04,2035.1,2069.3,2053.63,2060.6156
4143,2021-02-03,2013.55,2106.6234,2058.88,2065.61
4142,2021-02-02,1906.37,1949.37,1919.12,1913.13
4141,2021-02-01,1844.585,1915.54,1893.07,1844.585
4140,2021-01-29,1801.5601,1847.535,1827.36,1834.02
4139,2021-01-28,1831.0,1887.99,1853.2,1831.0
4138,2021-01-27,1797.28,1880.47,1818.94,1874.91
4137,2021-01-26,1876.13,1915.75,1907.95,1885.99
4136,2021-01-25,1859.16,1921.82,1894.28,1912.74
4135,2021-01-22,1876.495,1904.39,1892.56,1891.46
4134,2021-01-21,1879.41,1932.08,1884.15,1893.65
4133,2021-01-20,1819.51,1899.7234,1880.07,1826.37
4132,2021-01-19,1732.83,1803.84,1784.47,1743.0
4131,2021-01-15,1711.71,1747.62,1727.62,1729.02
4130,2021-01-14,1726.07,1767.5499,1730.92,1748.87
4129,2021-01-13,1727.32,1756.39,1747.25,1727.32
4128,2021-01-12,1716.375,1767.9,1737.43,1745.36
4127,2021-01-11,1752.14,1784.38,1756.29,1777.02
4126,2021-01-08,1761.22,1799.355,1797.83,1777.16
4125,2021-01-07,1726.76,1777.82,1774.34,1726.76
4124,2021-01-06,1696.1014,1743.965,1722.88,1700.255
4123,2021-01-05,1716.9,1746.83,1740.05,1725.09
4122,2021-01-04,1707.14,1762.4899,1726.13,1760.0
4121,2020-12-31,1736.09,1757.5,1752.64,1737.27
4120,2020-12-30,1728.0,1767.76,1736.25,1765.0
4119,2020-12-29,1755.11,1788.47,1757.76,1787.23
4118,2020-12-28,1741.82,1787.0,1773.96,1744.91
4117,2020-12-24,1724.35,1742.41,1734.16,1729.0
4116,2020-12-23,1721.2,1744.11,1728.23,1723.93
4115,2020-12-22,1705.78,1732.6123,1720.22,1729.33
4114,2020-12-21,1694.0,1737.0,1734.56,1709.13
4113,2020-12-18,1715.0,1748.36,1726.22,1746.1702
4112,2020-12-17,1731.15,1766.71,1740.51,1763.93
4111,2020-12-16,1749.06,1769.11,1757.19,1769.11
4110,2020-12-15,1741.67,1764.0,1761.08,1759.86
4109,2020-12-14,1749.13,1789.8,1752.26,1770.72
4108,2020-12-11,1752.74,1777.31,1774.8,1760.0
4107,2020-12-10,1733.527,1774.99,1767.65,1762.6
4106,2020-12-09,1762.0001,1828.37,1777.86,1810.36
4105,2020-12-08,1791.28,1815.97,1811.33,1808.52
4104,2020-12-07,1803.04,1829.29,1817.03,1815.55
4103,2020-12-04,1813.59,1829.4994,1823.76,1820.22
4102,2020-12-03,1817.0,1843.83,1821.84,1820.54
4101,2020-12-02,1785.1695,1832.74,1824.97,1795.36
4100,2020-12-01,1763.03,1821.7199,1795.36,1766.655
4099,2020-11-30,1747.84,1780.335,1754.4,1775.65
4098,2020-11-27,1764.54,1797.01,1787.02,1764.54
4097,2020-11-25,1748.36,1770.38,1764.13,1767.81
4096,2020-11-24,1720.73,1766.475,1763.9,1727.5
4095,2020-11-23,1710.18,1745.99,1727.56,1740.22
4094,2020-11-20,1735.0,1768.3625,1736.38,1762.0
4093,2020-11-19,1730.02,1763.49,1758.57,1733.23
4092,2020-11-18,1738.5658,1765.0,1740.64,1756.64
4091,2020-11-17,1759.49,1777.14,1761.66,1767.86
4090,2020-11-16,1761.33,1794.34,1774.03,1764.14
4089,2020-11-13,1735.98,1777.13,1772.26,1748.0
4088,2020-11-12,1737.97,1764.98,1742.82,1742.0
4087,2020-11-11,1743.06,1762.9,1747.23,1748.4
4086,2020-11-10,1716.12,1759.38,1737.72,1729.77
4085,2020-11-09,1757.545,1816.89,1761.42,1795.98
4084,2020-11-06,1736.68,1768.495,1759.73,1751.34
4083,2020-11-05,1741.03,1791.818,1762.5,1770.45
4082,2020-11-04,1703.0,1770.03,1745.85,1705.5803
4081,2020-11-03,1612.108,1659.0,1645.66,1630.76
4080,2020-11-02,1614.24,1658.24,1624.32,1623.54
4079,2020-10-30,1601.57,1681.315,1616.11,1667.44
4078,2020-10-29,1516.55,1588.735,1556.88,1517.02
4077,2020-10-28,1508.48,1553.81,1510.8,1550.01
4076,2020-10-27,1576.99,1602.0,1598.88,1588.9319
4075,2020-10-26,1567.78,1629.58,1584.29,1615.0
4074,2020-10-23,1611.91,1634.12,1632.98,1615.05
4073,2020-10-22,1577.48,1613.42,1606.66,1585.0
4072,2020-10-21,1567.135,1615.14,1585.99,1569.85
4071,2020-10-20,1520.5,1573.84,1551.08,1523.11
4070,2020-10-19,1522.92,1583.925,1529.95,1575.93
4069,2020-10-16,1557.66,1577.71,1567.7,1561.83
4068,2020-10-15,1541.1301,1571.395,1555.47,1544.5
4067,2020-10-14,1545.895,1583.85,1563.44,1574.6
4066,2020-10-13,1558.63,1585.16,1567.07,1577.01
4065,2020-10-12,1529.3,1588.42,1564.59,1538.0
4064,2020-10-09,1487.0,1511.85,1510.45,1492.86
4063,2020-10-08,1465.45,1488.0275,1483.43,1465.45
4062,2020-10-07,1433.23,1468.97,1459.14,1459.31
4061,2020-10-06,1445.01,1484.52,1451.02,1475.5
4060,2020-10-05,1460.09,1484.7,1482.83,1462.65
4059,2020-10-02,1447.35,1479.03,1455.6,1459.63
4058,2020-10-01,1476.8,1495.07,1487.9,1483.6608
4057,2020-09-30,1455.755,1486.1975,1465.6,1460.935
4056,2020-09-29,1454.0,1472.0,1466.02,1463.91
4055,2020-09-28,1446.28,1472.99,1458.66,1471.99
4054,2020-09-25,1407.68,1445.94,1439.06,1425.05
4053,2020-09-24,1402.15,1437.99,1422.86,1402.68
4052,2020-09-23,1402.68,1453.08,1409.39,1452.09
4051,2020-09-22,1429.495,1463.97,1459.82,1450.32
4050,2020-09-21,1402.68,1440.06,1430.14,1431.62
4049,2020-09-18,1431.62,1495.2,1451.09,1488.3
4048,2020-09-17,1462.46,1498.66,1487.04,1485.81
4047,2020-09-16,1511.59,1554.37,1512.09,1542.48
4046,2020-09-15,1522.1,1550.99,1535.12,1527.89
4045,2020-09-14,1505.11,1557.0,1508.83,1531.6471
4044,2020-09-11,1493.02,1538.695,1515.76,1528.15
4043,2020-09-10,1520.0,1573.66,1526.05,1550.18
4042,2020-09-09,1525.17,1558.72,1547.23,1548.9
4041,2020-09-08,1516.5,1555.55,1523.6,1525.0
4040,2020-09-04,1537.9701,1634.99,1581.21,1609.0
4039,2020-09-03,1607.71,1700.0,1629.51,1699.52
4038,2020-09-02,1660.19,1726.1022,1717.39,1668.01
4037,2020-09-01,1629.53,1659.22,1655.08,1632.16
4036,2020-08-31,1625.33,1644.5,1629.53,1643.57
4035,2020-08-28,1625.605,1641.35,1639.43,1629.47
4034,2020-08-27,1618.8137,1647.99,1628.52,1646.61
4033,2020-08-26,1600.9754,1652.79,1644.13,1606.3
4032,2020-08-25,1577.88,1608.88,1605.85,1580.1
4031,2020-08-24,1575.04,1608.78,1585.15,1592.47
4030,2020-08-21,1562.31,1591.88,1575.57,1571.8
4029,2020-08-20,1534.46,1580.17,1576.25,1539.97
4028,2020-08-19,1540.0,1568.86,1544.61,1552.49
4027,2020-08-18,1521.665,1557.37,1555.78,1526.12
4026,2020-08-17,1505.0,1523.78,1516.24,1515.97
4025,2020-08-14,1499.0,1519.785,1504.63,1513.61
4024,2020-08-13,1508.21,1536.9744,1516.65,1508.21
4023,2020-08-12,1485.0,1511.67,1507.24,1487.1245
4022,2020-08-11,1478.19,1510.44,1480.54,1494.0
4021,2020-08-10,1477.4901,1507.15,1496.82,1490.8
4020,2020-08-07,1486.27,1520.09,1498.37,1509.04
4019,2020-08-06,1471.9,1506.27,1504.95,1476.15
4018,2020-08-05,1471.215,1490.0,1479.09,1476.82
4017,2020-08-04,1464.03,1493.11,1473.3,1486.71
4016,2020-08-03,1471.72,1497.73,1482.76,1491.0
4015,2020-07-31,1454.0,1505.02,1487.95,1497.05
4014,2020-07-30,1495.17,1540.89,1538.37,1497.97
4013,2020-07-29,1503.01,1533.33,1523.51,1505.0
4012,2020-07-28,1500.52,1526.01,1503.65,1525.0
4011,2020-07-27,1512.33,1537.56,1529.43,1513.26
4010,2020-07-24,1487.59,1515.4273,1508.21,1499.19
4009,2020-07-23,1508.59,1570.35,1516.75,1565.93
4008,2020-07-22,1543.23,1566.98,1564.85,1555.71
4007,2020-07-21,1552.62,1587.05,1555.92,1585.03
4006,2020-07-20,1502.7,1569.01,1563.84,1515.0
4005,2020-07-17,1498.1,1523.43,1516.85,1516.91
4004,2020-07-16,1488.27,1515.91,1514.92,1501.5
4003,2020-07-15,1497.83,1536.33,1516.88,1523.23
4002,2020-07-14,1485.93,1522.8,1520.86,1492.79
4001,2020-07-13,1506.56,1576.36,1512.23,1549.94
4000,2020-07-10,1500.72,1541.34,1539.01,1513.25
3999,2020-07-09,1495.59,1529.14,1518.66,1509.93
3998,2020-07-08,1492.3,1511.17,1503.6,1500.8
3997,2020-07-07,1489.7,1521.32,1489.92,1496.13
3996,2020-07-06,1476.98,1510.0,1499.65,1488.15
3995,2020-07-02,1451.07,1488.52,1469.93,1451.84
3994,2020-07-01,1414.18,1448.48,1442.0,1419.17
3993,2020-06-30,1386.93,1424.0,1418.05,1396.88
3992,2020-06-29,1351.65,1398.0,1397.17,1360.34
3991,2020-06-26,1355.0,1437.02,1362.54,1432.63
3990,2020-06-25,1419.54,1442.32,1441.1,1431.22
3989,2020-06-24,1430.0,1475.79,1432.7,1463.28
3988,2020-06-23,1445.0,1475.2,1463.98,1452.0
3987,2020-06-22,1419.19,1450.95,1450.66,1425.01
3986,2020-06-19,1419.0,1444.5,1424.64,1440.0
3985,2020-06-18,1426.23,1452.97,1434.12,1449.85
3984,2020-06-17,1435.12,1462.2,1452.54,1452.94
3983,2020-06-16,1428.99,1457.17,1446.47,1449.0
3982,2020-06-15,1387.2,1425.0,1420.74,1389.49
3981,2020-06-12,1385.8,1434.51,1412.92,1425.86
3980,2020-06-11,1398.41,1451.6,1401.9,1441.03
3979,2020-06-10,1454.36,1472.77,1464.7,1461.51
3978,2020-06-09,1442.36,1467.8,1452.08,1445.24
3977,2020-06-08,1424.48,1449.0,1448.04,1426.28
3976,2020-06-05,1407.62,1446.3,1440.02,1415.64
3975,2020-06-04,1406.01,1441.32,1414.3,1436.78
3974,2020-06-03,1431.62,1449.01,1439.25,1442.7
3973,2020-06-02,1421.61,1443.0,1442.31,1435.0
3972,2020-06-01,1422.28,1441.58,1434.87,1425.7
3971,2020-05-29,1415.98,1436.73,1433.52,1420.43
3970,2020-05-28,1399.08,1444.46,1418.24,1400.0
3969,2020-05-27,1394.6,1425.35,1420.28,1420.0
3968,2020-05-26,1419.39,1445.11,1421.37,1441.96
3967,2020-05-22,1395.95,1417.0,1413.24,1403.9
3966,2020-05-21,1394.39,1416.46,1406.75,1410.99
3965,2020-05-20,1387.42,1412.03,1409.16,1389.16
3964,2020-05-19,1373.76,1392.49,1374.4,1385.48
3963,2020-05-18,1354.2,1392.76,1385.18,1361.58
3962,2020-05-15,1339.0,1374.58,1373.06,1348.26
3961,2020-05-14,1323.3,1357.37,1356.86,1333.52
3960,2020-05-13,1328.01,1385.33,1348.33,1376.16
3959,2020-05-12,1374.51,1414.33,1375.18,1408.22
3958,2020-05-11,1375.5,1415.53,1403.59,1376.79
3957,2020-05-08,1372.01,1396.64,1384.34,1381.82
3956,2020-05-07,1352.54,1376.0,1369.28,1361.31
3955,2020-05-06,1345.13,1368.69,1345.43,1358.0
3954,2020-05-05,1335.03,1371.01,1349.02,1337.5
3953,2020-05-04,1296.01,1324.47,1322.9,1308.13
3952,2020-05-01,1309.66,1351.43,1317.32,1324.09
3951,2020-04-30,1321.5,1350.0,1346.7,1331.36
3950,2020-04-29,1326.73,1360.15,1342.18,1345.0
3949,2020-04-28,1230.38,1284.76,1232.59,1283.2
3948,2020-04-27,1265.06,1294.1,1270.86,1292.0
3947,2020-04-24,1244.0,1277.71,1276.6,1255.0
3946,2020-04-23,1260.53,1288.15,1271.17,1265.74
3945,2020-04-22,1237.2,1279.88,1258.41,1241.11
3944,2020-04-21,1205.0,1250.0,1212.16,1242.71
3943,2020-04-20,1256.44,1276.82,1261.15,1269.89
3942,2020-04-17,1266.0,1290.0,1279.0,1281.7
3941,2020-04-16,1238.2,1273.36,1257.43,1267.14
3940,2020-04-15,1234.0,1275.11,1257.3,1246.51
3939,2020-04-14,1228.54,1275.75,1265.23,1239.97
3938,2020-04-13,1182.33,1214.52,1210.41,1201.5
3937,2020-04-09,1192.42,1221.99,1206.57,1218.18
3936,2020-04-08,1183.95,1214.9,1207.0,1203.1
3935,2020-04-07,1177.25,1220.78,1182.56,1217.01
3934,2020-04-06,1125.0,1190.75,1183.19,1133.0
3933,2020-04-03,1075.08,1118.79,1092.7,1114.71
3932,2020-04-02,1093.13,1122.77,1117.03,1100.0
3931,2020-04-01,1093.49,1129.42,1102.1,1124.0
